Location,Date,Time
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 57 18 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 57 32 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 57 46 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 57 59 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 58 11 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 58 24 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 58 37 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 58 49 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 59 05 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,8 59 26 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 00 04 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 00 33 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 00 47 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 01 03 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 01 16 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 02 01 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 02 22 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 02 39 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 02 51 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 03 04 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 03 16 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 03 26 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 03 39 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 03 54 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 04 06 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 04 21 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 04 35 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 04 48 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 05 01 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 05 15 PM
"43°47'38.2""N 79°12'57.4""W",10 27 2021,9 05 27 PM
